idStudy,idIstat,Province,itCode,Exceedances,StationsNum,Cases,Population,Density,Long,Lat,Where,Commuters,CommutersDensity,ExcedRatio25
33,91,ReggioCalabria,RC,0,4,13,548009,172,15.39,38.06,south,230434,42,NA
36,41,ReggioEmilia,RE,34,5,138,531891,232,10.38,44.42,north,286563,54,13
66,101,Ragusa,RG,0,0,2,320893,198,14.44,36.56,south,138462,43,NA
103,66,Rieti,RI,0,2,1,155503,57,12.52,42.22,south,71024,46,0.5
1,67,Roma,RM,10,25,218,4342212,810,12.29,41.54,south,2039520,47,1.47
64,47,Rimini,RN,8,4,363,339017,392,12.34,44.04,north,164248,48,5
80,34,Rovigo,RO,17,4,16,234937,129,11.48,45.04,north,119505,51,NA
10,80,Salerno,SA,10,8,20,1098513,222,14.46,40.41,south,473024,43,1.12
78,55,Siena,SI,0,2,41,267197,70,11.18,43.19,south,137470,51,0
93,16,Sondrio,SO,6,4,23,181095,57,9.53,46.11,north,90476,50,7
86,13,LaSpezia,SP,2,4,37,219556,249,9.5,44.07,south,101434,46,NA
48,102,Siracusa,SR,0,0,5,399224,188,15.17,37.04,south,162315,41,NA
65,103,Sassari,SS,0,9,4,491571,64,8.34,40.43,south,144987,29,0
76,11,Savona,SV,2,10,62,276064,179,8.28,44.19,south,127500,46,NA
30,83,Taranto,TA,0,11,8,576756,234,17.14,40.28,south,243158,42,NA
71,71,Teramo,TE,0,1,9,308052,158,13.43,42.4,south,144204,47,0
35,27,Trento,TN,25,7,163,541098,87,11.08,46.04,north,294702,54,4.8
4,1,Torino,TO,120,15,305,2259523,331,7.42,45.04,north,1134790,50,9.25
43,94,Trapani,TP,0,0,4,430492,174,12.32,38.01,south,169970,39,NA
83,59,Terni,TR,5,8,29,225633,106,12.4,42.34,south,105014,47,NA
81,37,Trieste,TS,6,7,131,234493,1103,13.46,45.39,north,114967,49,3
17,31,Treviso,TV,42,5,327,887806,358,12.15,45.4,north,475961,54,13.5
37,35,Udine,UD,33,11,75,528791,106,13.14,46.04,north,270895,51,6
16,14,Varese,VA,29,4,125,890768,743,8.49,45.5,north,468796,53,9.5
102,8,VerbanoCusioOssola,VB,NA,NA,29,158349,70,8.33,45.56,north,77911,49,NA
97,2,Vercelli,VC,26,4,29,170911,82,8.25,45.2,north,85175,50,11
20,32,Venezia,VE,51,6,248,853338,345,12.21,45.26,north,435775,51,12
19,29,Vicenza,VI,37,4,141,862418,317,11.33,45.33,north,474074,55,11
15,28,Verona,VR,38,5,210,926497,299,11,45.27,north,492562,53,15
108,NA,MedioCampidano,VS,0,0,0,99422,66,8.9,39.55,south,40188,40,NA
68,65,Viterbo,VT,0,3,10,317030,88,12.07,42.33,south,143130,45,0
99,93,ViboValentia,VV,0,4,5,160073,139,16.06,38.4,south,65919,41,NA
